SignId,Id,X,Y,Z,Retro,Angle,Distance,UTC,R,G,B,H,S,V,pX,pY
1,37592,33.7872572,-84.4055620,244.993,0.76,-0.127,8.546,66090.39000,167,181,164,110.0,0.094,0.710,0.857,0.339
1,37593,33.7872572,-84.4055619,244.904,0.74,-0.137,8.557,66090.39000,143,78,59,14.0,0.588,0.561,0.857,0.436
1,37594,33.7872571,-84.4055617,244.820,0.75,-0.148,8.545,66090.39000,139,90,108,338.0,0.353,0.545,0.843,0.528
1,37595,33.7872570,-84.4055614,244.735,0.75,-0.158,8.536,66090.39000,152,64,65,0.0,0.580,0.596,0.830,0.620
1,37596,33.7872569,-84.4055612,244.651,0.75,-0.168,8.525,66090.39000,149,60,56,2.0,0.624,0.584,0.818,0.712
1,37597,33.7872568,-84.4055610,244.565,0.75,-0.178,8.526,66090.39000,169,55,59,358.0,0.675,0.663,0.807,0.805
1,37598,33.7872568,-84.4055610,244.477,0.60,-0.189,8.537,66090.39000,167,107,112,356.0,0.361,0.655,0.807,0.901
1,37660,33.7872570,-84.4055622,245.179,0.70,-0.107,8.437,66090.40300,136,60,46,10.0,0.663,0.533,0.836,0.137
1,37661,33.7872569,-84.4055621,245.094,0.75,-0.117,8.433,66090.40300,143,58,55,2.0,0.616,0.561,0.823,0.230
1,37662,33.7872568,-84.4055619,245.010,0.75,-0.127,8.425,66090.40300,181,168,163,16.0,0.098,0.710,0.809,0.321
1,37663,33.7872568,-84.4055618,244.924,0.75,-0.137,8.425,66090.40300,169,89,70,12.0,0.584,0.663,0.808,0.415
1,37664,33.7872567,-84.4055617,244.837,0.75,-0.148,8.434,66090.40300,165,148,162,310.0,0.102,0.647,0.796,0.509
1,37665,33.7872566,-84.4055614,244.756,0.75,-0.158,8.414,66090.40300,178,139,122,18.0,0.314,0.698,0.783,0.597
1,37666,33.7872566,-84.4055613,244.670,0.74,-0.168,8.417,66090.40300,145,91,85,6.0,0.416,0.569,0.783,0.691
1,37667,33.7872565,-84.4055612,244.584,0.75,-0.178,8.424,66090.40300,149,60,56,2.0,0.624,0.584,0.771,0.785
1,37668,33.7872564,-84.4055609,244.502,0.75,-0.189,8.410,66090.40300,147,58,54,2.0,0.631,0.576,0.759,0.874
1,37726,33.7872566,-84.4055622,245.195,0.75,-0.107,8.323,66090.41600,139,59,51,6.0,0.631,0.545,0.789,0.120
1,37727,33.7872565,-84.4055620,245.112,0.76,-0.117,8.305,66090.41600,143,58,55,2.0,0.616,0.561,0.775,0.210
1,37728,33.7872565,-84.4055619,245.027,0.75,-0.127,8.309,66090.41600,168,126,93,26.0,0.447,0.659,0.774,0.303
1,37729,33.7872565,-84.4055619,244.941,0.75,-0.137,8.324,66090.41600,181,163,163,0.0,0.098,0.710,0.774,0.396
1,37730,33.7872563,-84.4055616,244.860,0.75,-0.148,8.303,66090.41600,165,129,141,340.0,0.220,0.647,0.748,0.484
1,37731,33.7872563,-84.4055615,244.775,0.74,-0.158,8.306,66090.41600,163,133,148,330.0,0.184,0.639,0.748,0.577
1,37732,33.7872562,-84.4055612,244.693,0.75,-0.168,8.299,66090.41600,141,105,111,350.0,0.255,0.553,0.735,0.666
1,37733,33.7872561,-84.4055612,244.607,0.75,-0.178,8.309,66090.41600,147,59,55,2.0,0.627,0.576,0.723,0.760
1,37734,33.7872560,-84.4055610,244.525,0.75,-0.189,8.304,66090.41600,146,58,54,2.0,0.631,0.573,0.712,0.849
1,37735,33.7872560,-84.4055609,244.440,0.75,-0.199,8.314,66090.41600,134,51,45,4.0,0.663,0.525,0.712,0.941
1,37791,33.7872562,-84.4055621,245.213,0.75,-0.106,8.194,66090.42900,142,57,54,2.0,0.620,0.557,0.741,0.100
1,37792,33.7872562,-84.4055622,245.127,0.76,-0.117,8.209,66090.42900,144,56,52,2.0,0.639,0.565,0.742,0.194
1,37793,33.7872561,-84.4055618,245.047,0.75,-0.127,8.188,66090.43000,146,55,48,4.0,0.671,0.573,0.726,0.281
1,37794,33.7872560,-84.4055617,244.964,0.75,-0.137,8.184,66090.43000,153,69,62,4.0,0.596,0.600,0.713,0.371
1,37795,33.7872560,-84.4055616,244.880,0.75,-0.148,8.193,66090.43000,151,84,65,14.0,0.569,0.592,0.713,0.462
1,37796,33.7872559,-84.4055613,244.801,0.75,-0.158,8.174,66090.43000,174,106,85,14.0,0.510,0.682,0.700,0.548
1,37797,33.7872558,-84.4055613,244.716,0.74,-0.168,8.186,66090.43000,145,81,66,12.0,0.545,0.569,0.688,0.641
1,37798,33.7872557,-84.4055611,244.634,0.75,-0.178,8.183,66090.43000,146,58,54,2.0,0.631,0.573,0.676,0.730
1,37799,33.7872556,-84.4055609,244.553,0.75,-0.189,8.178,66090.43000,144,56,52,2.0,0.639,0.565,0.665,0.818
1,37800,33.7872556,-84.4055609,244.468,0.75,-0.199,8.193,66090.43000,140,57,51,4.0,0.635,0.549,0.665,0.911
1,37801,33.7872555,-84.4055606,244.387,0.57,-0.209,8.186,66090.43000,150,58,51,4.0,0.659,0.588,0.655,0.999
1,37857,33.7872559,-84.4055622,245.226,0.75,-0.107,8.083,66090.44300,144,56,54,2.0,0.624,0.565,0.707,0.086
1,37858,33.7872558,-84.4055619,245.146,0.74,-0.117,8.070,66090.44300,142,57,54,2.0,0.620,0.557,0.691,0.173
1,37859,33.7872557,-84.4055618,245.064,0.76,-0.127,8.069,66090.44300,153,62,51,6.0,0.667,0.600,0.678,0.262
1,37860,33.7872556,-84.4055617,244.983,0.75,-0.137,8.067,66090.44300,176,160,142,32.0,0.192,0.690,0.666,0.350
1,37861,33.7872556,-84.4055617,244.898,0.75,-0.148,8.087,66090.44300,169,142,163,314.0,0.161,0.663,0.666,0.443
1,37862,33.7872555,-84.4055615,244.819,0.75,-0.158,8.073,66090.44300,155,123,146,316.0,0.208,0.608,0.653,0.529
1,37863,33.7872554,-84.4055613,244.738,0.75,-0.168,8.068,66090.44300,191,153,166,340.0,0.200,0.749,0.640,0.617
1,37864,33.7872554,-84.4055611,244.656,0.75,-0.178,8.072,66090.44300,139,54,66,352.0,0.612,0.545,0.640,0.706
1,37865,33.7872554,-84.4055611,244.572,0.76,-0.189,8.084,66090.44300,145,57,53,2.0,0.635,0.569,0.640,0.798
1,37866,33.7872552,-84.4055607,244.495,0.74,-0.199,8.065,66090.44300,144,56,52,2.0,0.639,0.565,0.619,0.881
1,37867,33.7872552,-84.4055608,244.410,0.75,-0.209,8.087,66090.44300,135,59,52,6.0,0.616,0.529,0.618,0.974
1,37921,33.7872554,-84.4055619,245.244,0.75,-0.107,7.942,66090.45600,145,57,55,2.0,0.620,0.569,0.644,0.066
1,37922,33.7872554,-84.4055620,245.160,0.75,-0.117,7.966,66090.45600,143,58,55,2.0,0.616,0.561,0.645,0.158
1,37923,33.7872554,-84.4055619,245.079,0.75,-0.127,7.966,66090.45600,145,57,53,2.0,0.635,0.569,0.644,0.246
1,37924,33.7872553,-84.4055617,245.001,0.75,-0.137,7.952,66090.45600,168,166,178,250.0,0.067,0.698,0.630,0.331
1,37925,33.7872552,-84.4055616,244.920,0.75,-0.148,7.952,66090.45600,142,58,72,350.0,0.592,0.557,0.618,0.419
1,37926,33.7872552,-84.4055615,244.839,0.74,-0.158,7.958,66090.45600,132,53,51,2.0,0.612,0.518,0.617,0.507
1,37927,33.7872551,-84.4055613,244.758,0.74,-0.168,7.958,66090.45600,151,69,64,4.0,0.576,0.592,0.605,0.595
1,37928,33.7872550,-84.4055611,244.679,0.75,-0.178,7.952,66090.45600,166,135,192,272.0,0.298,0.753,0.593,0.681
1,37929,33.7872550,-84.4055610,244.598,0.75,-0.189,7.960,66090.45600,141,56,53,2.0,0.624,0.553,0.593,0.769
1,37930,33.7872548,-84.4055608,244.521,0.75,-0.199,7.947,66090.45600,141,56,53,2.0,0.624,0.553,0.571,0.853
1,37931,33.7872548,-84.4055607,244.439,0.75,-0.209,7.956,66090.45600,140,57,53,2.0,0.620,0.549,0.571,0.942
1,37984,33.7872551,-84.4055621,245.258,0.76,-0.106,7.843,66090.46900,145,57,55,2.0,0.620,0.569,0.611,0.051
1,37985,33.7872550,-84.4055620,245.178,0.75,-0.117,7.840,66090.46900,146,58,56,2.0,0.616,0.573,0.598,0.138
1,37986,33.7872550,-84.4055619,245.098,0.76,-0.127,7.842,66090.46900,144,59,54,4.0,0.624,0.565,0.597,0.225
1,37987,33.7872549,-84.4055617,245.019,0.75,-0.137,7.840,66090.46900,181,173,174,352.0,0.043,0.710,0.583,0.311
1,37988,33.7872548,-84.4055615,244.941,0.75,-0.148,7.831,66090.47000,163,98,85,10.0,0.478,0.639,0.570,0.396
1,37989,33.7872547,-84.4055614,244.863,0.74,-0.158,7.828,66090.47000,162,104,78,18.0,0.518,0.635,0.558,0.481
1,37990,33.7872547,-84.4055612,244.784,0.75,-0.168,7.825,66090.47000,175,117,94,18.0,0.463,0.686,0.557,0.567
1,37991,33.7872546,-84.4055611,244.704,0.75,-0.178,7.831,66090.47000,154,141,168,268.0,0.161,0.659,0.546,0.654
1,37992,33.7872546,-84.4055610,244.623,0.76,-0.189,7.842,66090.47000,141,56,53,2.0,0.624,0.553,0.546,0.742
1,37993,33.7872545,-84.4055607,244.549,0.75,-0.199,7.825,66090.47000,141,56,53,2.0,0.624,0.553,0.536,0.823
1,37994,33.7872544,-84.4055607,244.468,0.74,-0.209,7.837,66090.47000,139,56,52,2.0,0.627,0.545,0.524,0.911
1,37995,33.7872544,-84.4055606,244.386,0.69,-0.219,7.850,66090.47000,147,59,54,4.0,0.631,0.576,0.525,1.000
1,38051,33.7872547,-84.4055620,245.274,0.76,-0.107,7.716,66090.48300,147,62,57,4.0,0.612,0.576,0.563,0.034
1,38052,33.7872546,-84.4055618,245.196,0.75,-0.117,7.710,66090.48300,146,58,56,2.0,0.616,0.573,0.549,0.119
1,38053,33.7872545,-84.4055617,245.117,0.76,-0.127,7.711,66090.48300,144,59,54,4.0,0.624,0.565,0.536,0.205
1,38054,33.7872545,-84.4055617,245.039,0.74,-0.137,7.715,66090.48300,153,57,63,356.0,0.627,0.600,0.536,0.289
1,38055,33.7872545,-84.4055616,244.960,0.74,-0.148,7.717,66090.48300,181,158,163,346.0,0.125,0.710,0.535,0.375
1,38056,33.7872544,-84.4055613,244.884,0.75,-0.158,7.709,66090.48300,176,155,174,306.0,0.118,0.690,0.522,0.458
1,38057,33.7872543,-84.4055613,244.805,0.75,-0.168,7.715,66090.48300,166,134,157,316.0,0.192,0.651,0.510,0.544
1,38058,33.7872543,-84.4055612,244.726,0.75,-0.178,7.720,66090.48300,142,73,101,336.0,0.486,0.557,0.510,0.630
1,38059,33.7872541,-84.4055608,244.654,0.75,-0.189,7.694,66090.48300,143,52,60,354.0,0.635,0.561,0.488,0.708
1,38060,33.7872542,-84.4055610,244.569,0.74,-0.199,7.731,66090.48300,140,55,52,2.0,0.627,0.549,0.498,0.801
1,38061,33.7872540,-84.4055606,244.496,0.74,-0.209,7.712,66090.48300,140,55,52,2.0,0.627,0.549,0.478,0.880
1,38062,33.7872540,-84.4055605,244.417,0.74,-0.220,7.720,66090.48300,146,63,59,2.0,0.596,0.573,0.479,0.966
1,38118,33.7872543,-84.4055620,245.289,0.73,-0.107,7.603,66090.49600,144,59,54,4.0,0.624,0.565,0.516,0.017
1,38119,33.7872543,-84.4055619,245.212,0.74,-0.117,7.601,66090.49600,145,57,55,2.0,0.620,0.569,0.515,0.101
1,38120,33.7872542,-84.4055618,245.135,0.75,-0.127,7.598,66090.49600,144,59,54,4.0,0.624,0.565,0.502,0.185
1,38121,33.7872541,-84.4055616,245.059,0.75,-0.137,7.593,66090.49600,175,72,63,4.0,0.639,0.686,0.488,0.268
1,38122,33.7872541,-84.4055617,244.979,0.75,-0.148,7.609,66090.49600,140,68,64,4.0,0.541,0.549,0.489,0.355
1,38123,33.7872540,-84.4055614,244.905,0.75,-0.158,7.593,66090.49600,152,60,57,2.0,0.624,0.596,0.475,0.435
1,38124,33.7872540,-84.4055614,244.826,0.75,-0.168,7.609,66090.49600,139,56,49,4.0,0.647,0.545,0.475,0.521
1,38125,33.7872539,-84.4055612,244.749,0.75,-0.178,7.608,66090.49600,142,59,51,6.0,0.639,0.557,0.462,0.605
1,38126,33.7872538,-84.4055609,244.676,0.75,-0.189,7.594,66090.49600,130,64,38,16.0,0.706,0.510,0.452,0.684
1,38127,33.7872538,-84.4055609,244.597,0.75,-0.199,7.604,66090.49600,141,56,53,2.0,0.624,0.553,0.452,0.770
1,38128,33.7872537,-84.4055607,244.521,0.75,-0.209,7.604,66090.49600,140,55,50,4.0,0.643,0.549,0.442,0.853
1,38129,33.7872536,-84.4055605,244.446,0.75,-0.220,7.603,66090.49600,140,55,52,2.0,0.627,0.549,0.432,0.935
1,38188,33.7872539,-84.4055621,245.305,0.57,-0.106,7.490,66090.50900,143,59,54,4.0,0.624,0.561,0.471,0.000
1,38189,33.7872539,-84.4055619,245.230,0.75,-0.117,7.478,66090.50900,144,59,54,4.0,0.624,0.565,0.468,0.082
1,38190,33.7872538,-84.4055616,245.156,0.75,-0.127,7.467,66090.50900,145,57,55,2.0,0.620,0.569,0.452,0.162
1,38191,33.7872538,-84.4055618,245.076,0.75,-0.137,7.492,66090.50900,144,59,54,4.0,0.624,0.565,0.454,0.249
1,38192,33.7872537,-84.4055615,245.003,0.75,-0.148,7.477,66090.50900,176,135,155,330.0,0.231,0.690,0.440,0.329
1,38193,33.7872536,-84.4055614,244.927,0.74,-0.158,7.479,66090.50900,174,119,98,16.0,0.435,0.682,0.427,0.411
1,38194,33.7872536,-84.4055613,244.852,0.75,-0.168,7.477,66090.51000,168,106,81,18.0,0.518,0.659,0.427,0.493
1,38195,33.7872535,-84.4055611,244.776,0.75,-0.178,7.478,66090.51000,172,131,95,28.0,0.447,0.675,0.415,0.576
1,38196,33.7872534,-84.4055610,244.701,0.75,-0.189,7.482,66090.51000,173,124,110,14.0,0.365,0.678,0.404,0.657
1,38197,33.7872534,-84.4055610,244.623,0.75,-0.199,7.492,66090.51000,140,57,53,2.0,0.620,0.549,0.404,0.742
1,38198,33.7872533,-84.4055607,244.550,0.75,-0.209,7.486,66090.51000,140,55,50,4.0,0.643,0.549,0.394,0.822
1,38199,33.7872532,-84.4055606,244.474,0.75,-0.219,7.491,66090.51000,140,55,52,2.0,0.627,0.549,0.384,0.904
1,38200,33.7872532,-84.4055605,244.397,0.74,-0.230,7.499,66090.51000,150,59,61,358.0,0.608,0.588,0.386,0.988
1,38253,33.7872535,-84.4055619,245.247,0.76,-0.117,7.363,66090.52300,145,57,53,2.0,0.635,0.569,0.421,0.063
1,38254,33.7872534,-84.4055618,245.172,0.75,-0.127,7.366,66090.52300,142,57,52,4.0,0.635,0.557,0.408,0.145
1,38255,33.7872534,-84.4055617,245.097,0.75,-0.137,7.367,66090.52300,143,58,55,2.0,0.616,0.561,0.406,0.226
1,38256,33.7872533,-84.4055616,245.022,0.75,-0.148,7.371,66090.52300,188,166,166,0.0,0.118,0.737,0.393,0.308
1,38257,33.7872533,-84.4055615,244.948,0.75,-0.158,7.366,66090.52300,176,161,183,280.0,0.122,0.718,0.392,0.388
1,38258,33.7872531,-84.4055612,244.877,0.74,-0.168,7.348,66090.52300,150,103,122,336.0,0.314,0.588,0.368,0.466
1,38259,33.7872531,-84.4055612,244.800,0.74,-0.178,7.364,66090.52300,148,109,135,320.0,0.263,0.580,0.368,0.550
1,38260,33.7872531,-84.4055611,244.725,0.74,-0.189,7.369,66090.52300,161,127,154,312.0,0.212,0.631,0.368,0.631
1,38261,33.7872530,-84.4055609,244.650,0.75,-0.199,7.371,66090.52300,141,55,58,358.0,0.612,0.553,0.357,0.713
1,38262,33.7872529,-84.4055607,244.579,0.75,-0.209,7.362,66090.52300,139,56,52,2.0,0.627,0.545,0.347,0.790
1,38263,33.7872528,-84.4055605,244.506,0.75,-0.220,7.361,66090.52300,141,56,51,4.0,0.639,0.553,0.339,0.869
1,38264,33.7872528,-84.4055605,244.428,0.75,-0.230,7.381,66090.52300,142,57,54,2.0,0.620,0.557,0.339,0.954
1,38316,33.7872531,-84.4055618,245.266,0.76,-0.117,7.238,66090.53600,145,57,53,2.0,0.635,0.569,0.372,0.042
1,38317,33.7872530,-84.4055616,245.194,0.74,-0.127,7.228,66090.53600,141,56,51,4.0,0.639,0.553,0.358,0.121
1,38318,33.7872529,-84.4055615,245.121,0.75,-0.137,7.225,66090.53600,142,57,54,2.0,0.620,0.557,0.345,0.200
1,38319,33.7872529,-84.4055616,245.045,0.75,-0.148,7.245,66090.53600,181,129,89,26.0,0.510,0.710,0.346,0.283
1,38320,33.7872529,-84.4055614,244.972,0.75,-0.158,7.240,66090.53600,143,64,59,4.0,0.588,0.561,0.344,0.362
1,38321,33.7872528,-84.4055613,244.900,0.74,-0.168,7.238,66090.53600,134,59,51,6.0,0.620,0.525,0.332,0.441
1,38322,33.7872527,-84.4055611,244.827,0.75,-0.178,7.235,66090.53600,135,56,62,356.0,0.584,0.529,0.320,0.520
1,38323,33.7872527,-84.4055611,244.752,0.75,-0.189,7.249,66090.53600,139,48,53,356.0,0.655,0.545,0.320,0.602
1,38324,33.7872526,-84.4055610,244.678,0.75,-0.199,7.255,66090.53600,135,53,52,0.0,0.616,0.529,0.309,0.682
1,38325,33.7872525,-84.4055607,244.608,0.75,-0.209,7.244,66090.53600,139,56,52,2.0,0.627,0.545,0.301,0.758
1,38326,33.7872525,-84.4055605,244.536,0.75,-0.220,7.241,66090.53600,141,56,51,4.0,0.639,0.553,0.304,0.837
1,38327,33.7872524,-84.4055605,244.461,0.75,-0.230,7.254,66090.53600,142,57,56,0.0,0.604,0.557,0.293,0.918
1,38380,33.7872527,-84.4055618,245.285,0.74,-0.117,7.116,66090.54900,145,57,53,2.0,0.635,0.569,0.326,0.022
1,38381,33.7872526,-84.4055617,245.213,0.76,-0.127,7.116,66090.54900,141,56,51,4.0,0.639,0.553,0.312,0.100
1,38382,33.7872525,-84.4055615,245.143,0.75,-0.137,7.106,66090.54900,142,57,54,2.0,0.620,0.557,0.298,0.176
1,38383,33.7872525,-84.4055615,245.069,0.75,-0.147,7.114,66090.54900,144,59,58,0.0,0.596,0.565,0.298,0.257
1,38384,33.7872525,-84.4055614,244.996,0.75,-0.158,7.120,66090.54900,162,69,67,2.0,0.588,0.635,0.297,0.336
1,38385,33.7872524,-84.4055613,244.923,0.75,-0.168,7.125,66090.54900,141,58,50,6.0,0.647,0.553,0.285,0.416
1,38386,33.7872524,-84.4055612,244.852,0.75,-0.178,7.124,66090.54900,162,76,48,14.0,0.702,0.635,0.285,0.493
1,38387,33.7872523,-84.4055610,244.781,0.75,-0.189,7.120,66090.55000,190,137,134,4.0,0.294,0.745,0.273,0.570
1,38388,33.7872523,-84.4055610,244.707,0.74,-0.199,7.132,66090.55000,133,67,55,10.0,0.588,0.522,0.273,0.651
1,38389,33.7872522,-84.4055608,244.637,0.75,-0.209,7.129,66090.55000,144,56,52,2.0,0.639,0.565,0.264,0.727
1,38390,33.7872521,-84.4055607,244.564,0.76,-0.219,7.136,66090.55000,140,58,52,4.0,0.627,0.549,0.254,0.806
1,38391,33.7872520,-84.4055605,244.493,0.75,-0.230,7.134,66090.55000,135,63,40,14.0,0.702,0.529,0.247,0.884
1,38448,33.7872522,-84.4055617,245.232,0.75,-0.127,6.994,66090.56300,147,61,51,6.0,0.655,0.576,0.266,0.079
1,38449,33.7872522,-84.4055616,245.160,0.75,-0.137,6.999,66090.56300,141,56,62,356.0,0.604,0.553,0.264,0.158
1,38450,33.7872521,-84.4055615,245.089,0.75,-0.148,6.998,66090.56300,147,62,57,4.0,0.612,0.576,0.251,0.235
1,38451,33.7872521,-84.4055614,245.018,0.74,-0.158,7.001,66090.56300,180,163,152,24.0,0.157,0.706,0.250,0.312
1,38452,33.7872520,-84.4055613,244.947,0.76,-0.168,7.005,66090.56300,151,63,78,350.0,0.584,0.592,0.237,0.390
1,38453,33.7872520,-84.4055612,244.877,0.74,-0.178,7.001,66090.56300,176,133,105,24.0,0.404,0.690,0.237,0.466
1,38454,33.7872519,-84.4055611,244.805,0.76,-0.189,7.009,66090.56300,143,98,116,336.0,0.314,0.561,0.226,0.544
1,38455,33.7872519,-84.4055609,244.735,0.75,-0.199,7.007,66090.56300,182,157,159,356.0,0.137,0.714,0.227,0.620
1,38456,33.7872518,-84.4055608,244.666,0.76,-0.209,7.005,66090.56300,147,71,63,6.0,0.573,0.576,0.217,0.695
1,38457,33.7872517,-84.4055606,244.595,0.76,-0.219,7.009,66090.56300,144,56,52,2.0,0.639,0.565,0.210,0.773
1,38458,33.7872517,-84.4055605,244.524,0.75,-0.230,7.012,66090.56300,124,67,50,14.0,0.596,0.486,0.213,0.850
1,38515,33.7872518,-84.4055615,245.181,0.74,-0.137,6.871,66090.57600,135,60,58,2.0,0.569,0.529,0.215,0.135
1,38516,33.7872517,-84.4055614,245.112,0.75,-0.148,6.873,66090.57600,143,58,53,4.0,0.627,0.561,0.203,0.210
1,38517,33.7872517,-84.4055613,245.042,0.76,-0.158,6.875,66090.57600,177,158,187,280.0,0.157,0.733,0.202,0.286
1,38518,33.7872516,-84.4055612,244.974,0.75,-0.168,6.869,66090.57600,148,69,55,10.0,0.627,0.580,0.190,0.360
1,38519,33.7872516,-84.4055611,244.903,0.75,-0.178,6.877,66090.57600,180,170,135,46.0,0.251,0.706,0.190,0.437
1,38520,33.7872515,-84.4055609,244.834,0.75,-0.189,6.873,66090.57600,132,60,72,350.0,0.545,0.518,0.180,0.513
1,38521,33.7872515,-84.4055609,244.763,0.74,-0.199,6.885,66090.57600,147,73,69,4.0,0.529,0.576,0.180,0.590
1,38522,33.7872514,-84.4055607,244.697,0.74,-0.209,6.874,66090.57600,174,140,187,284.0,0.251,0.733,0.173,0.662
1,38523,33.7872513,-84.4055606,244.627,0.74,-0.219,6.880,66090.57600,146,58,54,2.0,0.631,0.573,0.165,0.738
1,38524,33.7872513,-84.4055606,244.553,0.76,-0.230,6.899,66090.57600,146,59,54,4.0,0.631,0.573,0.165,0.818
1,38583,33.7872514,-84.4055615,245.133,0.75,-0.147,6.758,66090.58900,143,58,53,4.0,0.627,0.561,0.169,0.187
1,38584,33.7872513,-84.4055614,245.065,0.74,-0.158,6.755,66090.58900,151,73,71,2.0,0.529,0.592,0.155,0.261
1,38585,33.7872512,-84.4055611,244.999,0.74,-0.168,6.745,66090.58900,182,142,168,322.0,0.220,0.714,0.143,0.333
1,38586,33.7872512,-84.4055611,244.929,0.74,-0.178,6.759,66090.58900,177,160,178,296.0,0.102,0.698,0.143,0.409
1,38587,33.7872511,-84.4055609,244.863,0.75,-0.189,6.748,66090.58900,150,74,70,4.0,0.533,0.588,0.134,0.481
1,38588,33.7872511,-84.4055610,244.790,0.75,-0.199,6.771,66090.58900,182,132,96,26.0,0.471,0.714,0.132,0.560
1,38589,33.7872510,-84.4055608,244.724,0.75,-0.209,6.767,66090.59000,163,163,168,240.0,0.031,0.659,0.125,0.632
1,38590,33.7872509,-84.4055606,244.657,0.75,-0.219,6.762,66090.59000,150,61,64,358.0,0.592,0.588,0.122,0.705
1,38591,33.7872509,-84.4055605,244.587,0.74,-0.230,6.773,66090.59000,147,58,52,4.0,0.647,0.576,0.127,0.781
1,38648,33.7872509,-84.4055613,245.090,0.74,-0.158,6.628,66090.60300,144,60,63,358.0,0.584,0.565,0.107,0.234
1,38649,33.7872509,-84.4055612,245.022,0.76,-0.168,6.634,66090.60300,146,68,63,4.0,0.569,0.573,0.107,0.308
1,38650,33.7872508,-84.4055612,244.953,0.75,-0.178,6.641,66090.60300,144,71,74,358.0,0.506,0.565,0.095,0.383
1,38651,33.7872508,-84.4055610,244.887,0.73,-0.189,6.640,66090.60300,144,56,63,356.0,0.612,0.565,0.097,0.455
1,38652,33.7872507,-84.4055609,244.820,0.76,-0.199,6.642,66090.60300,141,68,69,0.0,0.518,0.553,0.088,0.528
1,38653,33.7872506,-84.4055608,244.754,0.75,-0.209,6.640,66090.60300,142,88,123,322.0,0.380,0.557,0.081,0.600
1,38654,33.7872506,-84.4055606,244.689,0.75,-0.219,6.637,66090.60300,143,56,67,352.0,0.608,0.561,0.093,0.670
1,38655,33.7872505,-84.4055605,244.620,0.74,-0.230,6.646,66090.60300,155,64,55,6.0,0.647,0.608,0.091,0.745
1,38710,33.7872504,-84.4055611,245.048,0.74,-0.168,6.502,66090.61600,158,98,81,14.0,0.486,0.620,0.048,0.280
1,38711,33.7872504,-84.4055611,244.981,0.76,-0.178,6.512,66090.61600,156,84,65,12.0,0.584,0.612,0.048,0.353
1,38712,33.7872504,-84.4055610,244.915,0.74,-0.189,6.513,66090.61600,151,74,54,12.0,0.643,0.592,0.051,0.424
1,38713,33.7872503,-84.4055607,244.852,0.74,-0.199,6.502,66090.61600,141,69,54,10.0,0.616,0.553,0.061,0.493
1,38714,33.7872503,-84.4055608,244.783,0.73,-0.209,6.520,66090.61600,150,63,63,0.0,0.580,0.588,0.053,0.568
1,38715,33.7872502,-84.4055606,244.718,0.71,-0.219,6.520,66090.61600,140,55,55,0.0,0.608,0.549,0.064,0.639
1,38716,33.7872502,-84.4055607,244.648,0.56,-0.230,6.541,66090.61600,166,86,52,18.0,0.686,0.651,0.055,0.715
