sign_id,Shape,RFRAME,LFRAME,SEQUENCE,TC,OVERHEAD,CONDITION,SUPPORT,mutcd_code,ID,long,lat,alt,X1,Y1,X2,Y2,rclink,RouteNo,County,District,ImagePath,physical_condition,overhead_type,frame_id_2018,frame_path_2018,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1992,,8654,8655,FR_I285_Lane5_CW_Run1(0).avi,53173.516,0,0,0,W13-2,584,-84.25224453,33.81797831,316.1161731,2363.60465,626.23256,1838.29387,644.34672,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08654.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,6403,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/06403.jpg,2025.72,524.8,2227.68,773.12
1994,,7630,7631,FR_I285_Lane5_CW_Run1(0).avi,52954.961,0,3,0,W8-13,663,-84.24851606,33.86267053,302.4546855,2209.53456,723.91705,1762.80276,723.91705,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07630.jpg"" width=""512"" height=""384"" />",Dirty,Ground,None,None,None,None,None,None
1998,,7553,7554,FR_I285_Lane5_CW_Run1(0).avi,52937.654,0,0,0,D10-4,667,-84.24929101,33.86603858,292.6831858,1924.21475,704.09493,1532.76037,700.7106,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07553.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5315,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0003/05315.jpg,1900.26,565.76,2041.02,834.56
1999,,7531,7533,FR_I285_Lane5_CW_Run1(0).avi,52933.146,0,0,0,D9-18,668,-84.24951776,33.86690204,291.4482263,1818.37287,592.60212,1365.22727,627.06957,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07531.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5295,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0003/05295.jpg,1842.12,314.88,2399.04,788.48
2001,,7510,7512,FR_I285_Lane5_CW_Run1(0).avi,52928.754,4,0,0,D3-1,670,-84.249626,33.86787063,290.5922556,1317.47921,190.56734,918.06228,385.20706,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07510.jpg"" width=""512"" height=""384"" />",Good Condition,Bridge-Mounted,None,None,None,None,None,None
2003,,7507,7509,FR_I285_Lane5_CW_Run1(0).avi,52928.137,4,0,0,E0-1a,672,-84.24957918,33.86784488,293.6479284,451.52258,220.12074,400.7576,352.10968,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07507.jpg"" width=""512"" height=""384"" />",Good Condition,Bridge-Mounted,None,None,None,None,None,None
2005,,7485,7487,FR_I285_Lane5_CW_Run1(0).avi,52923.682,0,0,0,D3-3i,674,-84.24985963,33.86894775,286.9779397,2005.75945,568.69309,1482.31613,605.92074,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07485.jpg"" width=""512"" height=""384"" />",Obstruction,Ground,5249,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0003/05249.jpg,1927.8,266.24,2386.8,816.64
2008,,7409,7411,FR_I285_Lane5_CW_Run1(0).avi,52908.471,0,0,0,R2-1,677,-84.24998987,33.87239562,292.9104974,1952.37143,633.38341,1301.45161,660.45807,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07409.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5173,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0003/05173.jpg,1765.62,524.8,1961.46,793.6
2010,,7391,7393,FR_I285_Lane5_CW_Run1(0).avi,52904.877,0,0,0,D9-18,679,-84.25004156,33.87314908,295.1921392,1969.93733,638.04885,1448.75023,661.73917,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07391.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5155,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0003/05155.jpg,1646.28,435.2,2062.44,842.24
2013,,7328,7330,FR_I285_Lane5_CW_Run1(0).avi,52892.866,0,0,0,D9-18,682,-84.25005663,33.87596963,303.1169373,2119.18249,624.38341,1549.48664,652.58618,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07328.jpg"" width=""512"" height=""384"" />",Obstruction,Ground,5093,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0003/05093.jpg,1878.84,384,2395.98,826.88
2018,,7228,7229,FR_I285_Lane5_CW_Run1(0).avi,52872.877,0,0,0,D10-4,687,-84.25013279,33.8804172,304.6074398,2223.84424,709.02028,1953.0977,705.63594,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07228.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,4993,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0003/04993.jpg,2142,609.28,2203.2,768
2019,,7219,7220,FR_I285_Lane5_CW_Run1(0).avi,52871.049,0,0,0,W8-13,688,-84.2500454,33.88091537,304.2460852,2147.18617,608.79631,1650.81751,633.61475,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07219.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,4984,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0003/04984.jpg,1884.96,437.76,2157.3,765.44
2020,,7212,7213,FR_I285_Lane5_CW_Run1(0).avi,52869.643,0,0,0,R2-1,689,-84.25007446,33.88120407,303.6442148,1846.91689,661.83752,1470.53626,679.63931,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07212.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,4977,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0003/04977.jpg,1692.18,537.6,1927.8,819.2
2022,,7202,7203,FR_I285_Lane5_CW_Run1(0).avi,52867.623,0,0,0,W4-1,691,-84.25014739,33.88163276,302.7580655,2243.99433,145.81617,2443.69551,139.72774,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07202.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,4968,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0003/04968.jpg,2034.9,476.16,2298.06,811.52
2025,,8217,8218,FR_I285_Lane5_CW_Run1(0).avi,53078.916,0,0,0,R2-1,618,-84.24921607,33.83689824,324.9020948,2271.56313,699.58618,1805.65346,708.61106,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08217.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5971,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/05971.jpg,2044.08,622.08,2221.56,837.12
2026,,8212,8214,FR_I285_Lane5_CW_Run1(0).avi,53078.078,1,0,0,E1-1,619,-84.24915259,33.83684821,333.4906956,556.14842,101.09988,507.48849,251.13467,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08212.jpg"" width=""512"" height=""384"" />",Good Condition,Sign Bridge,None,None,None,None,None,None
2027,,8204,8205,FR_I285_Lane5_CW_Run1(0).avi,53076.165,0,0,0,AIS-1,620,-84.24899871,33.83743333,323.6967472,2097.97235,767.68203,1699.74931,758.65714,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08204.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5959,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/05959.jpg,2267.46,619.52,2423.52,875.52
2028,,8197,8198,FR_I285_Lane5_CW_Run1(0).avi,53074.652,0,0,0,D10-4,621,-84.24889515,33.83774198,323.4497038,2272.94747,734.37604,1812.67834,729.86359,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08197.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5951,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/05951.jpg,2028.78,622.08,2132.82,819.2
2030,,8183,8184,FR_I285_Lane5_CW_Run1(0).avi,53071.562,0,0,0,M1-10,623,-84.24869216,33.83833946,323.1682291,2154.80636,664.13831,1700.64701,681.37204,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08183.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5938,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/05938.jpg,2270.52,576,2411.28,750.08
2033,,8127,8128,FR_I285_Lane5_CW_Run1(0).avi,53059.714,0,0,0,W8-13,626,-84.2482424,33.84076664,320.5790857,2153.76512,704.50953,1762.45818,702.48203,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08127.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5882,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/05882.jpg,2086.92,593.92,2270.52,829.44
2034,,8121,8123,FR_I285_Lane5_CW_Run1(0).avi,53058.69,0,0,0,D9-18,627,-84.24822408,33.84098598,321.3446895,2235.46265,577.39589,1578.55359,619.97333,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08121.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5877,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/05877.jpg,1930.86,386.56,2340.9,849.92
2037,,8056,8058,FR_I285_Lane5_CW_Run1(0).avi,53045.537,0,0,0,W4-2,630,-84.24789891,33.84382353,320.7781638,2093.92627,706.53272,1597.5576,706.53272,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08056.jpg"" width=""512"" height=""384"" />",Dirty,Ground,5813,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/05813.jpg,2044.08,606.72,2206.26,785.92
2038,,8041,8042,FR_I285_Lane5_CW_Run1(0).avi,53042.154,0,0,0,W4-3,631,-84.24768564,33.84461247,322.117701,1747.18986,471.72535,1291.43318,548.43687,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08041.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5797,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/05797.jpg,1759.5,432.64,2007.36,727.04
2044,,7951,7952,FR_I285_Lane5_CW_Run1(0).avi,53023.344,0,0,0,E5-1a,637,-84.24718839,33.84860128,323.9308099,1982.11889,699.01659,1473.34101,704.65714,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07951.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5708,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0003/05708.jpg,2041.02,558.08,2343.96,872.96
2047,,7926,7928,FR_I285_Lane5_CW_Run1(0).avi,53018.354,1,0,0,E1-1,640,-84.24697606,33.84957239,327.2861916,138.95532,22.61337,184.11363,249.84231,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07926.jpg"" width=""512"" height=""384"" />",Good Condition,Sign Bridge,None,None,None,None,None,None
2048,,7926,7928,FR_I285_Lane5_CW_Run1(0).avi,53018.354,1,0,0,E1-2a,641,-84.24705035,33.8495314,328.3034937,878.7295,118.01739,707.406,298.46463,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07926.jpg"" width=""512"" height=""384"" />",Good Condition,Sign Bridge,None,None,None,None,None,None
2049,,7924,7926,FR_I285_Lane5_CW_Run1(0).avi,53017.933,0,0,0,MEM-1,642,-84.24712224,33.84970045,322.0415652,2205.05019,747.79824,1588.69107,737.66076,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07924.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5682,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0003/05682.jpg,2016.54,675.84,2304.18,811.52
2052,,7659,7660,FR_I285_Lane5_CW_Run1(0).avi,52961.15,0,0,0,R2-1,659,-84.24820099,33.86140199,305.2981893,2033.29309,666.02396,1621.53272,690.8424,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07659.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,5420,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0003/05420.jpg,2138.94,499.2,2380.68,867.84
2053,,7654,7656,FR_I285_Lane5_CW_Run1(0).avi,52960.308,1,0,0,E0-1a,660,-84.24812603,33.86143586,311.4475136,502.29124,196.86452,434.60461,325.46912,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07654.jpg"" width=""512"" height=""384"" />",Good Condition,Sign Bridge,None,None,None,None,None,None
2054,,7653,7655,FR_I285_Lane5_CW_Run1(0).avi,52960.098,1,0,0,E1-1,661,-84.24806247,33.86142545,311.7556157,37.5871,257.73641,72.55853,377.31613,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\07653.jpg"" width=""512"" height=""384"" />",Good Condition,Sign Bridge,None,None,None,None,None,None
2059,,5730,5731,FR_I285_Lane5_CW_Run1(0).avi,52566.92,0,0,0,R2-1,811,-84.30901249,33.92009523,302.7042102,2226.15023,664.28018,1589.89585,678.94562,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05730.jpg"" width=""512"" height=""384"" />",Obstruction,Ground,3509,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0002/03509.jpg,2071.62,573.44,2307.24,870.4
2062,,5714,5715,FR_I285_Lane5_CW_Run1(0).avi,52563.674,0,3,0,R4-3,814,-84.30984715,33.92008697,303.9653051,2034.7058,682.16954,1532.4411,687.25577,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05714.jpg"" width=""512"" height=""384"" />",Obstruction,Ground,3493,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0002/03493.jpg,1872.72,570.88,2062.44,847.36
2063,,5688,5690,FR_I285_Lane5_CW_Run1(0).avi,52558.698,0,0,0,D9-18,815,-84.31115792,33.92007712,306.8067659,1838.20092,557.35115,1205.33088,623.90968,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05688.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,3469,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0002/03469.jpg,1839.06,330.24,2420.46,842.24
2064,,5671,5672,FR_I285_Lane5_CW_Run1(0).avi,52555.176,0,0,0,M3-2,816,-84.31216625,33.92008645,307.8354454,2245.81936,604.3871,1602.79631,639.35852,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05671.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,3450,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0002/03450.jpg,1854.36,601.6,1979.82,709.12
2065,,5671,5672,FR_I285_Lane5_CW_Run1(0).avi,52555.176,0,0,0,M1-1,817,-84.31216589,33.92008622,307.2035569,2239.05069,765.70691,1602.79631,753.2977,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05671.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,3450,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0002/03450.jpg,1808.46,668.16,2004.3,832
2066,,5665,5666,FR_I285_Lane5_CW_Run1(0).avi,52554.003,0,0,0,R553-1,818,-84.31245704,33.92008561,308.2187576,1841.68398,649.38064,1401.72554,665.91087,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05665.jpg"" width=""512"" height=""384"" />",Post Failure,Ground,3445,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0002/03445.jpg,1964.52,514.56,2178.72,814.08
2068,,5630,5631,FR_I285_Lane5_CW_Run1(0).avi,52547.145,0,0,0,D10-4,820,-84.31435785,33.92008677,310.3242811,2010.57051,631.2553,1430.72166,662.8424,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05630.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,3410,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0002/03410.jpg,1906.38,540.16,2041.02,816.64
2072,,5602,5603,FR_I285_Lane5_CW_Run1(0).avi,52541.451,0,0,0,R2-1,824,-84.31585503,33.92008518,309.759435,2063.20369,576.23041,1450.63963,626.99539,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05602.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,3382,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0002/03382.jpg,1728.9,547.84,1933.92,842.24
2075,,5568,5570,FR_I285_Lane5_CW_Run1(0).avi,52534.685,0,0,0,E5-1a,827,-84.31754839,33.92005242,306.0341533,1866.44608,694.22673,1274.18802,715.66083,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05568.jpg"" width=""512"" height=""384"" />",Surface Failure,Ground,3350,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0002/03350.jpg,1897.2,596.48,2126.7,865.28
2079,,5491,5494,FR_I285_Lane5_CW_Run1(0).avi,52519.119,1,0,0,E0-3,831,-84.32129928,33.92012064,302.9377772,337.75335,300.78731,316.46463,420.40964,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05491.jpg"" width=""512"" height=""384"" />",Good Condition,Sign Bridge,None,None,None,None,None,None
2080,,5492,5494,FR_I285_Lane5_CW_Run1(0).avi,52519.119,0,0,0,MEM-1,832,-84.32147881,33.92002597,295.1309999,1415.54795,766.81199,1116.49213,759.71575,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05492.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,3277,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0002/03277.jpg,1909.44,673.28,2169.54,819.2
2082,,5450,5452,FR_I285_Lane5_CW_Run1(0).avi,52510.105,0,0,0,D12-5,834,-84.3238598,33.92003338,290.9043828,2121.33917,499.77512,1401.60461,583.2553,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05450.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,3233,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0002/03233.jpg,1820.7,437.76,2044.08,675.84
2083,,5451,5452,FR_I285_Lane5_CW_Run1(0).avi,52510.105,0,0,0,SP-1,835,-84.32385365,33.92002826,289.7571114,2128.10783,692.68203,1693.78525,698.32258,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05451.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,3233,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0002/03233.jpg,1836,645.12,2034.9,747.52
2084,,5433,5435,FR_I285_Lane5_CW_Run1(0).avi,52506.644,0,0,0,R553-7,836,-84.32476687,33.92001465,288.4811316,2300.07189,655.17696,1535.2129,687.89217,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\05433.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,3216,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0002/03216.jpg,1998.18,601.6,2166.48,793.6
